red_fighter,blue_fighter,winner,fight_url,event,date,weight_class,method,round,time,red_wins,red_losses,red_draws,red_wins_by_ko_tko,red_wins_by_submission,red_wins_by_decision,red_losses_by_ko_tko,red_losses_by_submission,red_losses_by_decision,red_age,red_height_in,red_weight_lbs,red_reach_in,red_slpm,red_sapm,red_str_acc,red_str_def,red_td_avg,red_td_acc,red_td_def,red_sub_avg,red_stance,blue_wins,blue_losses,blue_draws,blue_wins_by_ko_tko,blue_wins_by_submission,blue_wins_by_decision,blue_losses_by_ko_tko,blue_losses_by_submission,blue_losses_by_decision,blue_age,blue_height_in,blue_weight_lbs,blue_reach_in,blue_slpm,blue_sapm,blue_str_acc,blue_str_def,blue_td_avg,blue_td_acc,blue_td_def,blue_sub_avg,blue_stance,red_tot_sig_str_landed,red_tot_sig_str_attempted,red_tot_td_landed,red_tot_td_attempted,red_tot_ctrl_time_sec,blue_tot_sig_str_landed,blue_tot_sig_str_attempted,blue_tot_td_landed,blue_tot_td_attempted,blue_tot_ctrl_time_sec
Imanol Rodriguez,Kevin Borjas,Imanol Rodriguez,http://ufcstats.com/fight-details/15068d7b095ca9bd,UFC Fight Night: Moreno vs. Kavanagh,,Flyweight Bout,KO/TKO Round: 2 Time: 4:21 Time format: 3 Rnd (5-5-5) Referee: Raul Porrata,2.0,4:21,7.0,0.0,0.0,,,,,,,,64.0,125.0,64.0,5.71,2.42,0.55,0.58,1.3,0.33,0.0,0.0,orthodox,10.0,5.0,0.0,,,,,,,,65.0,125.0,68.0,3.96,5.64,0.44,0.49,0.0,0.0,0.7,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago Luna,Angel Pacheco,Santiago Luna,http://ufcstats.com/fight-details/3b76a00f5d0400eb,UFC Fight Night: Moreno vs. Kavanagh,,Bantamweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Fernando Salas Navarro,3.0,5:00,8.0,0.0,0.0,,,,,,,,69.0,135.0,74.0,8.2,3.82,0.54,0.71,4.21,0.83,0.5,0.8,orthodox,7.0,4.0,0.0,,,,,,,,68.0,135.0,70.0,7.58,10.56,0.36,0.41,0.33,0.5,0.16,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Gandra,Jose Daniel Medina,Ryan Gandra,http://ufcstats.com/fight-details/45ec0c5f19c9adbe,UFC Fight Night: Moreno vs. Kavanagh,,Middleweight Bout,KO/TKO Round: 1 Time: 0:41 Time format: 3 Rnd (5-5-5) Referee: Horacio Lopez Villanueva,1.0,0:41,9.0,1.0,0.0,,,,,,,,73.0,185.0,74.0,13.02,1.7,0.5,0.81,0.0,0.0,1.0,0.0,orthodox,11.0,7.0,0.0,,,,,,,,72.0,185.0,74.0,2.13,5.34,0.36,0.46,0.39,0.33,0.27,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ailin Perez,Macy Chiasson,Ailin Perez,http://ufcstats.com/fight-details/c40b934d2666e351,UFC Fight Night: Moreno vs. Kavanagh,,Women's Bantamweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Raul Porrata,3.0,5:00,13.0,2.0,0.0,,,,,,,,65.0,135.0,66.0,2.88,1.58,0.56,0.56,4.9,0.49,0.72,0.2,switch,11.0,6.0,0.0,,,,,,,,71.0,135.0,72.0,3.21,2.76,0.46,0.44,1.87,0.35,0.62,0.4,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristian Quinonez,Kris Moutinho,Cristian Quinonez,http://ufcstats.com/fight-details/25ab195cefbce1d0,UFC Fight Night: Moreno vs. Kavanagh,,Bantamweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Marc Goddard,3.0,5:00,19.0,5.0,0.0,,,,,,,,68.0,135.0,70.0,3.67,3.71,0.43,0.56,3.14,0.55,0.85,0.6,orthodox,14.0,8.0,0.0,,,,,,,,67.0,135.0,68.0,3.35,9.36,0.33,0.3,0.0,0.0,0.3,0.0,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas Silva de Andrade,Javier Reyes,Javier Reyes,http://ufcstats.com/fight-details/6154ee95d3f4fc32,UFC Fight Night: Moreno vs. Kavanagh,,Featherweight Bout,KO/TKO Round: 1 Time: 4:59 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,1.0,4:59,29.0,7.0,0.0,,,,,,,,67.0,145.0,68.0,3.54,4.09,0.38,0.56,0.54,0.42,0.71,0.2,orthodox,23.0,5.0,0.0,,,,,,,,67.0,145.0,73.0,8.91,2.53,0.55,0.47,2.0,0.5,0.5,0.0,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regina Tarin,Ernesta Kareckaite,Regina Tarin,http://ufcstats.com/fight-details/44d58943ac8e47e1,UFC Fight Night: Moreno vs. Kavanagh,,Catch Weight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Raul Porrata,3.0,5:00,8.0,0.0,0.0,,,,,,,,67.0,135.0,66.0,7.6,7.0,0.47,0.57,1.0,0.33,0.5,0.0,southpaw,6.0,2.0,1.0,,,,,,,,69.0,125.0,71.0,7.28,6.47,0.42,0.49,0.75,0.6,0.81,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Silva,Francis Marshall,Francis Marshall,http://ufcstats.com/fight-details/581292ffe5b09344,UFC Fight Night: Moreno vs. Kavanagh,,Featherweight Bout,Submission Round: 1 Time: 2:29 Time format: 3 Rnd (5-5-5) Referee: Fernando Salas Navarro,1.0,2:29,9.0,4.0,0.0,,,,,,,,69.0,145.0,71.0,2.06,1.52,0.67,0.4,3.26,0.8,0.6,0.0,orthodox,9.0,3.0,0.0,,,,,,,,69.0,145.0,72.0,3.39,4.03,0.33,0.53,2.86,0.45,0.66,0.6,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damian Pinas,Wes Schultz,Damian Pinas,http://ufcstats.com/fight-details/c6a85b67fdd2ef3d,UFC Fight Night: Moreno vs. Kavanagh,,Middleweight Bout,KO/TKO Round: 1 Time: 2:30 Time format: 3 Rnd (5-5-5) Referee: Horacio Lopez Villanueva,1.0,2:30,9.0,1.0,0.0,,,,,,,,73.0,185.0,79.0,7.5,3.75,0.56,0.56,0.0,0.0,1.0,0.0,orthodox,8.0,3.0,0.0,,,,,,,,73.0,185.0,77.0,4.6,4.97,0.43,0.45,4.52,0.25,0.0,1.1,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Strickland,Anthony Hernandez,Sean Strickland,http://ufcstats.com/fight-details/8d740c844353ae0e,UFC Fight Night: Strickland vs. Hernandez,,Middleweight Bout,KO/TKO Round: 3 Time: 2:23 Time format: 5 Rnd (5-5-5-5-5) Referee: Herb Dean,3.0,2:23,30.0,7.0,0.0,,,,,,,,73.0,185.0,76.0,6.04,4.57,0.42,0.6,0.71,0.64,0.76,0.2,orthodox,15.0,3.0,0.0,,,,,,,,72.0,185.0,75.0,4.57,3.1,0.6,0.51,5.88,0.48,0.68,1.6,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geoff Neal,Uros Medic,Uros Medic,http://ufcstats.com/fight-details/dd12bf51c5ed7f1e,UFC Fight Night: Strickland vs. Hernandez,,Welterweight Bout,KO/TKO Round: 1 Time: 1:19 Time format: 3 Rnd (5-5-5) Referee: Kerry Hatley,1.0,1:19,16.0,8.0,0.0,,,,,,,,71.0,170.0,75.0,5.02,5.5,0.5,0.57,0.54,0.45,0.87,0.1,southpaw,13.0,3.0,0.0,,,,,,,,73.0,170.0,71.0,5.59,3.42,0.6,0.56,0.34,0.5,0.55,0.0,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Ige,Melquizael Costa,Melquizael Costa,http://ufcstats.com/fight-details/dc6f6c8228390ebb,UFC Fight Night: Strickland vs. Hernandez,,Featherweight Bout,KO/TKO Round: 1 Time: 4:56 Time format: 3 Rnd (5-5-5) Referee: Jacob Montalvo,1.0,4:56,19.0,11.0,0.0,,,,,,,,67.0,145.0,71.0,3.6,3.56,0.45,0.56,0.93,0.26,0.56,0.2,orthodox,26.0,7.0,0.0,,,,,,,,70.0,145.0,71.0,4.38,2.97,0.49,0.54,2.0,0.4,0.58,1.1,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serghei Spivac,Ante Delija,Serghei Spivac,http://ufcstats.com/fight-details/04b7bcc0e8488604,UFC Fight Night: Strickland vs. Hernandez,,Heavyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Dan Miragliotta,3.0,5:00,18.0,6.0,0.0,,,,,,,,75.0,260.0,78.0,3.57,4.23,0.47,0.52,3.82,0.59,0.63,0.5,orthodox,26.0,8.0,0.0,,,,,,,,75.0,239.0,78.0,4.28,3.95,0.38,0.52,0.0,0.0,0.75,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacobe Smith,Josiah Harrell,Jacobe Smith,http://ufcstats.com/fight-details/54437b8dba3a6110,UFC Fight Night: Strickland vs. Hernandez,,Welterweight Bout,KO/TKO Round: 1 Time: 3:01 Time format: 3 Rnd (5-5-5) Referee: Kerry Hatley,1.0,3:01,12.0,0.0,0.0,,,,,,,,70.0,170.0,72.0,6.89,2.78,0.67,0.47,7.78,0.91,1.0,0.7,southpaw,11.0,1.0,0.0,,,,,,,,67.0,170.0,68.0,2.32,10.94,0.5,0.29,0.0,0.0,0.0,0.0,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Reese,Michel Pereira,Michel Pereira,http://ufcstats.com/fight-details/372d1dee0db8dbee,UFC Fight Night: Strickland vs. Hernandez,,Middleweight Bout,Decision - Split Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,3.0,5:00,10.0,3.0,0.0,,,,,,,,76.0,185.0,77.0,4.48,3.92,0.54,0.43,2.8,0.61,0.52,1.3,switch,32.0,14.0,0.0,,,,,,,,73.0,185.0,73.0,4.46,4.4,0.51,0.51,1.21,0.56,0.75,0.7,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chidi Njokuani,Carlos Leal,Carlos Leal,http://ufcstats.com/fight-details/202d3277e569ad03,UFC Fight Night: Strickland vs. Hernandez,,Welterweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Kerry Hatley,3.0,5:00,25.0,12.0,0.0,,,,,,,,75.0,170.0,80.0,5.16,3.32,0.61,0.57,0.0,0.0,0.75,0.1,orthodox,23.0,7.0,0.0,,,,,,,,71.0,170.0,74.0,8.75,7.78,0.47,0.48,0.43,0.11,0.9,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ode Osbourne,Alibi Idiris,Alibi Idiris,http://ufcstats.com/fight-details/7ffdaa44fc8d111b,UFC Fight Night: Strickland vs. Hernandez,,Flyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Dan Miragliotta,3.0,5:00,13.0,10.0,0.0,,,,,,,,67.0,125.0,73.0,2.94,3.24,0.4,0.49,0.94,0.29,0.66,0.4,southpaw,12.0,1.0,0.0,,,,,,,,66.0,125.0,68.0,2.51,2.64,0.44,0.6,3.25,0.31,0.66,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alden Coria,Luis Gurule,Alden Coria,http://ufcstats.com/fight-details/ac39c1f00ae31e58,UFC Fight Night: Strickland vs. Hernandez,,Flyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Jeff Rexroad,3.0,5:00,12.0,3.0,0.0,,,,,,,,68.0,125.0,67.0,4.69,2.4,0.44,0.69,1.75,0.5,0.71,0.0,orthodox,10.0,3.0,0.0,,,,,,,,65.0,125.0,64.0,4.47,4.74,0.4,0.59,0.58,0.14,0.58,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nora Cornolle,Joselyne Edwards,Joselyne Edwards,http://ufcstats.com/fight-details/fd56a469e4589ebc,UFC Fight Night: Strickland vs. Hernandez,,Women's Bantamweight Bout,Submission Round: 2 Time: 2:44 Time format: 3 Rnd (5-5-5) Referee: Jacob Montalvo,2.0,2:44,9.0,4.0,0.0,,,,,,,,67.0,135.0,67.0,2.73,2.04,0.55,0.56,0.22,0.11,0.47,0.2,orthodox,17.0,6.0,0.0,,,,,,,,68.0,135.0,70.0,4.61,3.24,0.53,0.5,1.43,0.4,0.61,0.6,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramiz Brahimaj,Punahele Soriano,Punahele Soriano,http://ufcstats.com/fight-details/8f9896e60047007f,UFC Fight Night: Strickland vs. Hernandez,,Welterweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Dan Miragliotta,3.0,5:00,13.0,6.0,0.0,,,,,,,,70.0,170.0,72.0,2.29,3.27,0.48,0.47,1.99,0.34,0.44,1.6,orthodox,13.0,4.0,0.0,,,,,,,,71.0,170.0,72.0,4.42,3.31,0.53,0.47,1.97,0.51,0.48,0.1,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil Rowe,Jean-Paul Lebosnoyani,Jean-Paul Lebosnoyani,http://ufcstats.com/fight-details/508e622130b0a84d,UFC Fight Night: Strickland vs. Hernandez,,Welterweight Bout,Decision - Split Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,3.0,5:00,11.0,7.0,0.0,,,,,,,,75.0,170.0,80.0,3.51,4.15,0.49,0.5,0.46,0.36,0.53,0.2,orthodox,10.0,2.0,0.0,,,,,,,,71.0,170.0,72.0,4.77,3.72,0.61,0.53,2.79,0.3,0.0,1.9,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Leavitt,Yadier del Valle,Jordan Leavitt,http://ufcstats.com/fight-details/5b97f47cdd355cbe,UFC Fight Night: Strickland vs. Hernandez,,Featherweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Kerry Hatley,3.0,5:00,13.0,3.0,0.0,,,,,,,,69.0,145.0,71.0,2.21,1.59,0.57,0.58,3.15,0.34,0.3,1.1,southpaw,10.0,1.0,0.0,,,,,,,,69.0,145.0,69.0,4.05,2.16,0.6,0.55,1.23,0.42,0.58,2.0,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juliana Miller,Carli Judice,Carli Judice,http://ufcstats.com/fight-details/6e78d874097a3d22,UFC Fight Night: Strickland vs. Hernandez,,Women's Flyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Jeff Rexroad,3.0,5:00,5.0,4.0,0.0,,,,,,,,67.0,125.0,66.0,2.65,4.14,0.39,0.44,2.16,0.29,0.44,1.2,orthodox,6.0,2.0,0.0,,,,,,,,67.0,125.0,68.0,9.32,6.62,0.5,0.57,0.52,0.25,0.8,0.0,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Bautista,Vinicius Oliveira,Mario Bautista,http://ufcstats.com/fight-details/fb4b1754d510b0d0,UFC Fight Night: Bautista vs. Oliveira,,Bantamweight Bout,Submission Round: 2 Time: 4:46 Time format: 5 Rnd (5-5-5-5-5) Referee: Herb Dean,2.0,4:46,17.0,3.0,0.0,,,,,,,,69.0,135.0,69.0,5.3,3.98,0.48,0.54,1.91,0.38,0.55,0.8,switch,23.0,4.0,0.0,,,,,,,,69.0,135.0,70.0,4.73,2.7,0.43,0.57,1.45,0.46,0.7,0.2,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Albazi,Kyoji Horiguchi,Kyoji Horiguchi,http://ufcstats.com/fight-details/dbbf8334a2600895,UFC Fight Night: Bautista vs. Oliveira,,Flyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Keith Peterson,3.0,5:00,17.0,3.0,0.0,,,,,,,,65.0,125.0,68.0,2.47,3.88,0.33,0.59,1.18,0.25,0.62,0.4,orthodox,36.0,5.0,0.0,,,,,,,,64.0,125.0,63.0,3.77,2.13,0.47,0.63,1.61,0.4,0.61,0.1,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jailton Almeida,Rizvan Kuniev,Rizvan Kuniev,http://ufcstats.com/fight-details/a5c5f76cf0a7c784,UFC Fight Night: Bautista vs. Oliveira,,Heavyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Dan Miragliotta,3.0,5:00,22.0,5.0,0.0,,,,,,,,75.0,225.0,79.0,2.23,1.3,0.62,0.43,5.64,0.55,0.6,1.7,orthodox,13.0,3.0,1.0,,,,,,,,76.0,240.0,76.0,3.94,2.33,0.54,0.48,0.98,0.75,0.93,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michal Oleksiejczuk,Marc-Andre Barriault,Michal Oleksiejczuk,http://ufcstats.com/fight-details/8fea32ab0445859c,UFC Fight Night: Bautista vs. Oliveira,,Middleweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Chris Tognoni,3.0,5:00,22.0,9.0,0.0,,,,,,,,72.0,185.0,74.0,5.85,4.5,0.53,0.59,1.02,0.42,0.52,0.0,southpaw,17.0,11.0,0.0,,,,,,,,73.0,185.0,74.0,5.65,5.94,0.47,0.49,0.34,0.28,0.68,0.1,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean Matsumoto,Farid Basharat,Farid Basharat,http://ufcstats.com/fight-details/2a26c0cfa06265b7,UFC Fight Night: Bautista vs. Oliveira,,Bantamweight Bout,Decision - Split Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,3.0,5:00,17.0,2.0,0.0,,,,,,,,66.0,135.0,68.0,5.37,5.41,0.39,0.47,3.0,0.48,0.56,0.5,orthodox,15.0,0.0,0.0,,,,,,,,68.0,135.0,71.0,4.25,2.89,0.52,0.62,3.34,0.44,0.54,0.3,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dustin Jacoby,Julius Walker,Dustin Jacoby,http://ufcstats.com/fight-details/6cca11f353a2b42d,UFC Fight Night: Bautista vs. Oliveira,,Light Heavyweight Bout,KO/TKO Round: 2 Time: 1:42 Time format: 3 Rnd (5-5-5) Referee: Dan Miragliotta,2.0,1:42,22.0,9.0,1.0,,,,,,,,75.0,205.0,76.0,5.4,3.92,0.48,0.57,0.32,0.25,0.62,0.0,orthodox,7.0,2.0,0.0,,,,,,,,76.0,205.0,78.0,3.73,4.03,0.53,0.43,4.09,0.38,1.0,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Morono,Daniil Donchenko,Daniil Donchenko,http://ufcstats.com/fight-details/f964d2dda87f25f0,UFC Fight Night: Bautista vs. Oliveira,,Welterweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Keith Peterson,3.0,5:00,24.0,13.0,0.0,,,,,,,,71.0,170.0,72.0,4.9,4.88,0.39,0.55,0.32,0.24,0.47,0.3,orthodox,14.0,2.0,0.0,,,,,,,,71.0,170.0,71.0,7.15,2.57,0.6,0.72,0.77,0.33,0.75,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikolay Veretennikov,Niko Price,Nikolay Veretennikov,http://ufcstats.com/fight-details/abefaf1807941ee4,UFC Fight Night: Bautista vs. Oliveira,,Welterweight Bout,KO/TKO Round: 1 Time: 1:42 Time format: 3 Rnd (5-5-5) Referee: Chris Tognoni,1.0,1:42,14.0,7.0,0.0,,,,,,,,73.0,170.0,74.0,2.69,3.3,0.56,0.45,0.42,0.16,0.62,0.4,orthodox,16.0,10.0,0.0,,,,,,,,72.0,170.0,76.0,5.13,5.61,0.43,0.48,0.98,0.28,0.5,0.6,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruna Brasil,Ketlen Souza,Ketlen Souza,http://ufcstats.com/fight-details/cc5c5a8cff4c1ae9,UFC Fight Night: Bautista vs. Oliveira,,Women's Strawweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,3.0,5:00,11.0,6.0,1.0,,,,,,,,66.0,115.0,65.0,2.57,3.59,0.56,0.52,1.4,0.55,0.61,0.1,orthodox,16.0,6.0,0.0,,,,,,,,63.0,115.0,63.0,4.01,3.86,0.56,0.52,0.46,0.13,0.53,0.2,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javid Basharat,Gianni Vazquez,Javid Basharat,http://ufcstats.com/fight-details/86df0e75f41784d8,UFC Fight Night: Bautista vs. Oliveira,,Bantamweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Dan Miragliotta,3.0,5:00,15.0,2.0,0.0,,,,,,,,69.0,135.0,69.0,5.18,2.75,0.54,0.63,1.83,0.4,0.83,0.1,orthodox,13.0,5.0,1.0,,,,,,,,67.0,135.0,71.0,1.6,3.93,0.22,0.39,0.0,0.0,0.62,2.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wang Cong,Eduarda Moura,Wang Cong,http://ufcstats.com/fight-details/84e8ccc3c97c2b4c,UFC Fight Night: Bautista vs. Oliveira,,Catch Weight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Keith Peterson,3.0,5:00,9.0,1.0,0.0,,,,,,,,66.0,125.0,66.0,6.22,2.19,0.56,0.63,0.78,0.75,0.84,0.8,southpaw,12.0,2.0,0.0,,,,,,,,66.0,125.0,67.0,2.57,2.5,0.37,0.58,3.58,0.34,0.8,0.4,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muin Gafurov,Jakub Wiklacz,Jakub Wiklacz,http://ufcstats.com/fight-details/9d30c887e8bd8824,UFC Fight Night: Bautista vs. Oliveira,,Bantamweight Bout,Submission Round: 3 Time: 4:59 Time format: 3 Rnd (5-5-5) Referee: Chris Tognoni,3.0,4:59,20.0,7.0,0.0,,,,,,,,67.0,135.0,68.0,3.36,2.51,0.47,0.55,1.57,0.28,0.7,0.0,orthodox,18.0,3.0,2.0,,,,,,,,70.0,135.0,72.0,3.4,3.87,0.44,0.46,0.0,0.0,0.41,2.5,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klaudia Sygula,Priscila Cachoeira,Klaudia Sygula,http://ufcstats.com/fight-details/2bbfbb234c255249,UFC Fight Night: Bautista vs. Oliveira,,Women's Bantamweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Keith Peterson,3.0,5:00,8.0,2.0,0.0,,,,,,,,68.0,135.0,69.0,7.27,5.5,0.48,0.56,0.41,0.12,0.4,0.0,orthodox,13.0,8.0,0.0,,,,,,,,67.0,135.0,65.0,4.43,7.6,0.44,0.45,0.25,0.4,0.69,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,http://ufcstats.com/fight-details/b06b43670238c2d8,UFC 325: Volkanovski vs. Lopes 2,,UFC Featherweight Title Bout,Decision - Unanimous Round: 5 Time: 5:00 Time format: 5 Rnd (5-5-5-5-5) Referee: Marc Goddard,5.0,5:00,28.0,4.0,0.0,,,,,,,,66.0,145.0,71.0,5.99,3.31,0.57,0.58,1.63,0.34,0.68,0.2,orthodox,27.0,8.0,0.0,,,,,,,,71.0,145.0,72.0,3.83,4.56,0.47,0.45,0.88,0.5,0.68,1.4,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Hooker,Benoit Saint Denis,Benoit Saint Denis,http://ufcstats.com/fight-details/a7ae8f6eb5fc3a79,UFC 325: Volkanovski vs. Lopes 2,,Lightweight Bout,KO/TKO Round: 2 Time: 4:45 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,2.0,4:45,24.0,14.0,0.0,,,,,,,,72.0,155.0,75.0,4.82,4.94,0.48,0.49,0.68,0.33,0.77,0.6,switch,17.0,3.0,0.0,,,,,,,,71.0,155.0,73.0,5.62,4.09,0.58,0.42,4.19,0.35,0.72,1.8,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Fiziev,Mauricio Ruffy,Mauricio Ruffy,http://ufcstats.com/fight-details/57d7a683b85bb87b,UFC 325: Volkanovski vs. Lopes 2,,Lightweight Bout,KO/TKO Round: 2 Time: 4:30 Time format: 3 Rnd (5-5-5) Referee: Daniel Movahedi,2.0,4:30,13.0,5.0,0.0,,,,,,,,68.0,155.0,71.0,4.71,4.84,0.52,0.49,0.83,0.66,0.9,0.0,switch,13.0,2.0,0.0,,,,,,,,71.0,155.0,75.0,4.19,4.09,0.58,0.58,0.0,0.0,0.85,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tai Tuivasa,Tallison Teixeira,Tallison Teixeira,http://ufcstats.com/fight-details/67765535bd0b6bdf,UFC 325: Volkanovski vs. Lopes 2,,Heavyweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Marc Goddard,3.0,5:00,15.0,9.0,0.0,,,,,,,,74.0,264.0,75.0,3.66,4.97,0.48,0.43,0.0,0.0,0.6,0.0,southpaw,9.0,1.0,0.0,,,,,,,,79.0,258.0,83.0,5.02,3.86,0.64,0.42,2.48,0.3,0.0,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quillan Salkilld,Jamie Mullarkey,Quillan Salkilld,http://ufcstats.com/fight-details/32e9bc4d0a19a923,UFC 325: Volkanovski vs. Lopes 2,,Lightweight Bout,Submission Round: 1 Time: 3:02 Time format: 3 Rnd (5-5-5) Referee: Daniel Movahedi,1.0,3:02,11.0,1.0,0.0,,,,,,,,72.0,155.0,75.0,5.16,3.24,0.57,0.44,7.95,0.36,0.9,0.8,orthodox,18.0,9.0,0.0,,,,,,,,72.0,155.0,74.0,4.1,4.28,0.46,0.54,2.46,0.3,0.7,0.1,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
