red_fighter,blue_fighter,winner,fight_url,event,date,weight_class,method,round,time,red_wins,red_losses,red_draws,red_wins_by_ko_tko,red_wins_by_submission,red_wins_by_decision,red_losses_by_ko_tko,red_losses_by_submission,red_losses_by_decision,red_age,red_height_in,red_weight_lbs,red_reach_in,red_slpm,red_sapm,red_str_acc,red_str_def,red_td_avg,red_td_acc,red_td_def,red_sub_avg,red_stance,blue_wins,blue_losses,blue_draws,blue_wins_by_ko_tko,blue_wins_by_submission,blue_wins_by_decision,blue_losses_by_ko_tko,blue_losses_by_submission,blue_losses_by_decision,blue_age,blue_height_in,blue_weight_lbs,blue_reach_in,blue_slpm,blue_sapm,blue_str_acc,blue_str_def,blue_td_avg,blue_td_acc,blue_td_def,blue_sub_avg,blue_stance,red_tot_sig_str_landed,red_tot_sig_str_attempted,red_tot_td_landed,red_tot_td_attempted,red_tot_ctrl_time_sec,blue_tot_sig_str_landed,blue_tot_sig_str_attempted,blue_tot_td_landed,blue_tot_td_attempted,blue_tot_ctrl_time_sec
Luan Lacerda,Hecher Sosa,,http://ufcstats.com/fight-details/32d371462c539bee,UFC Fight Night: Emmett vs. Vallejos,,Bantamweight Bout,,,,13.0,3.0,0.0,,,,,,,,67.0,135.0,71.0,4.02,5.79,0.46,0.46,2.29,0.41,0.66,0.9,orthodox,14.0,1.0,0.0,,,,,,,,69.0,135.0,70.0,2.13,0.87,0.5,0.55,4.0,0.36,1.0,2.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bia Mesquita,Montse Rendon,,http://ufcstats.com/fight-details/8cab057e6549afd0,UFC Fight Night: Emmett vs. Vallejos,,Women's Bantamweight Bout,,,,6.0,0.0,0.0,,,,,,,,64.0,135.0,67.0,4.98,0.83,0.57,0.73,4.15,0.66,0.0,2.1,orthodox,7.0,1.0,0.0,,,,,,,,68.0,135.0,68.0,3.09,3.42,0.28,0.59,2.0,0.37,1.0,0.3,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elijah Smith,SuYoung You,,http://ufcstats.com/fight-details/f44b4e998b6829f6,UFC Fight Night: Emmett vs. Vallejos,,Bantamweight Bout,,,,9.0,1.0,0.0,,,,,,,,69.0,135.0,71.0,4.45,3.4,0.47,0.47,3.51,0.53,0.57,0.9,orthodox,16.0,3.0,0.0,,,,,,,,66.0,135.0,65.0,2.28,1.96,0.46,0.7,3.8,0.47,0.66,0.4,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piera Rodriguez,Sam Hughes,,http://ufcstats.com/fight-details/244285b7fd0ddece,UFC Fight Night: Emmett vs. Vallejos,,Women's Strawweight Bout,,,,11.0,2.0,0.0,,,,,,,,63.0,115.0,63.0,3.54,2.81,0.47,0.55,4.53,0.54,0.73,0.0,orthodox,11.0,6.0,0.0,,,,,,,,65.0,115.0,64.0,4.34,4.44,0.46,0.58,1.23,0.35,0.6,0.2,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Holloway,Charles Oliveira,Charles Oliveira,http://ufcstats.com/fight-details/f030febede41c661,UFC 326: Holloway vs. Oliveira 2,,Lightweight Bout,Decision - Unanimous Round: 5 Time: 5:00 Time format: 5 Rnd (5-5-5-5-5) Referee: Marc Goddard,5.0,5:00,27.0,9.0,0.0,,,,,,,,71.0,155.0,69.0,6.91,4.61,0.48,0.58,0.23,0.53,0.81,0.3,orthodox,37.0,11.0,0.0,,,,,,,,70.0,155.0,74.0,3.23,3.05,0.55,0.48,2.29,0.39,0.54,2.6,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caio Borralho,Reinier de Ridder,Caio Borralho,http://ufcstats.com/fight-details/d564db29997e1371,UFC 326: Holloway vs. Oliveira 2,,Middleweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,3.0,5:00,18.0,2.0,0.0,,,,,,,,73.0,185.0,75.0,3.47,2.61,0.56,0.6,1.25,0.5,0.76,0.4,southpaw,21.0,4.0,0.0,,,,,,,,76.0,185.0,78.0,2.47,2.36,0.48,0.46,2.56,0.29,0.4,0.6,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rob Font,Raul Rosas Jr.,Raul Rosas Jr.,http://ufcstats.com/fight-details/bed89a91da9d04c1,UFC 326: Holloway vs. Oliveira 2,,Bantamweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Jason Herzog,3.0,5:00,22.0,10.0,0.0,,,,,,,,68.0,135.0,71.0,5.11,3.53,0.45,0.57,0.7,0.29,0.37,0.3,orthodox,12.0,1.0,0.0,,,,,,,,69.0,135.0,67.0,1.34,1.24,0.42,0.52,6.1,0.54,0.25,0.9,switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Dober,Michael Johnson,Drew Dober,http://ufcstats.com/fight-details/f02c0adc4ae629c6,UFC 326: Holloway vs. Oliveira 2,,Lightweight Bout,KO/TKO Round: 2 Time: 1:53 Time format: 3 Rnd (5-5-5) Referee: Kerry Hatley,2.0,1:53,29.0,15.0,0.0,,,,,,,,68.0,155.0,70.0,4.48,4.33,0.41,0.53,0.61,0.16,0.58,0.1,southpaw,25.0,20.0,0.0,,,,,,,,70.0,155.0,73.0,4.27,3.78,0.39,0.58,0.57,0.38,0.81,0.0,southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gregory Rodrigues,Brunno Ferreira,Gregory Rodrigues,http://ufcstats.com/fight-details/6a4738656c493ee9,UFC 326: Holloway vs. Oliveira 2,,Middleweight Bout,KO/TKO Round: 1 Time: 1:47 Time format: 3 Rnd (5-5-5) Referee: Chris Tognoni,1.0,1:47,19.0,6.0,0.0,,,,,,,,75.0,185.0,75.0,5.53,4.78,0.51,0.5,1.9,0.34,0.75,0.4,orthodox,15.0,3.0,0.0,,,,,,,,70.0,185.0,72.0,3.77,3.91,0.5,0.51,1.25,0.23,0.61,0.8,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Garbrandt,Xiao Long,Cody Garbrandt,http://ufcstats.com/fight-details/ecd16d14a138d7fb,UFC 326: Holloway vs. Oliveira 2,,Bantamweight Bout,Decision - Unanimous Round: 3 Time: 5:00 Time format: 3 Rnd (5-5-5) Referee: Herb Dean,3.0,5:00,15.0,7.0,0.0,,,,,,,,68.0,135.0,65.0,2.79,3.66,0.4,0.58,0.85,0.22,0.81,0.0,orthodox,27.0,11.0,0.0,,,,,,,,68.0,135.0,70.0,5.06,3.85,0.47,0.5,0.74,0.27,0.82,0.0,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
