Red,Blue,Winner,Fight_URL,Event
Julia Polastri,Karolina Kowalkiewicz,,http://ufcstats.com/fight-details/c547b3e95bcc5f24,UFC Fight Night: Oliveira vs. Gamrot
Luan Lacerda,Saimon Oliveira,,http://ufcstats.com/fight-details/0f9e7d0d04e24b74,UFC Fight Night: Oliveira vs. Gamrot
Alex Pereira,Magomed Ankalaev,,http://ufcstats.com/fight-details/0de1ef0b9f3a79c0,UFC 320: Ankalaev vs. Pereira 2
Merab Dvalishvili,Cory Sandhagen,,http://ufcstats.com/fight-details/a8511df8285f5c91,UFC 320: Ankalaev vs. Pereira 2
Jiri Prochazka,Khalil Rountree Jr.,,http://ufcstats.com/fight-details/2560ea97b2cce4ef,UFC 320: Ankalaev vs. Pereira 2
Youssef Zalal,Josh Emmett,,http://ufcstats.com/fight-details/84ebd144d5e79c88,UFC 320: Ankalaev vs. Pereira 2
Joe Pyfer,Abus Magomedov,,http://ufcstats.com/fight-details/d006dd2513bd376d,UFC 320: Ankalaev vs. Pereira 2
Ateba Gautier,Tre'ston Vines,,http://ufcstats.com/fight-details/9418ebb3db2a4bae,UFC 320: Ankalaev vs. Pereira 2
Daniel Santos,JooSang Yoo,,http://ufcstats.com/fight-details/7b34aa1eb09b8301,UFC 320: Ankalaev vs. Pereira 2
Jakub Wiklacz,Patchy Mix,,http://ufcstats.com/fight-details/b09ecdc8ef0f0d20,UFC 320: Ankalaev vs. Pereira 2
Edmen Shahbazyan,Andre Muniz,,http://ufcstats.com/fight-details/1c7cc3a22ab7d907,UFC 320: Ankalaev vs. Pereira 2
Punahele Soriano,Nikolay Veretennikov,,http://ufcstats.com/fight-details/a951090fb402fd20,UFC 320: Ankalaev vs. Pereira 2
Yana Santos,Macy Chiasson,,http://ufcstats.com/fight-details/8353b491afa7bc32,UFC 320: Ankalaev vs. Pereira 2
Farid Basharat,Chris Gutierrez,,http://ufcstats.com/fight-details/e53fd165a3bc1f8e,UFC 320: Ankalaev vs. Pereira 2
Ramiz Brahimaj,Austin Vanderford,,http://ufcstats.com/fight-details/b98bc1ecb94ef4a5,UFC 320: Ankalaev vs. Pereira 2
Veronica Hardy,Brogan Walker,,http://ufcstats.com/fight-details/98883348ddb3be33,UFC 320: Ankalaev vs. Pereira 2
Carlos Ulberg,Dominick Reyes,,http://ufcstats.com/fight-details/a3ee907c77544cde,UFC Fight Night: Ulberg vs. Reyes
Jimmy Crute,Ivan Erslan,,http://ufcstats.com/fight-details/f5fb8b182020c59d,UFC Fight Night: Ulberg vs. Reyes
Jack Jenkins,Ramon Taveras,,http://ufcstats.com/fight-details/38248c5d13f273e6,UFC Fight Night: Ulberg vs. Reyes
Neil Magny,Jake Matthews,,http://ufcstats.com/fight-details/1ff24d5f760e0491,UFC Fight Night: Ulberg vs. Reyes
Tom Nolan,Charlie Campbell,,http://ufcstats.com/fight-details/8abad36b4c5e4070,UFC Fight Night: Ulberg vs. Reyes
Navajo Stirling,Rodolfo Bellato,,http://ufcstats.com/fight-details/dc31d3260dea7dcf,UFC Fight Night: Ulberg vs. Reyes
Cam Rowston,Andre Petroski,,http://ufcstats.com/fight-details/93a0a19c2c1cfe66,UFC Fight Night: Ulberg vs. Reyes
Jamie Mullarkey,Rolando Bedoya,,http://ufcstats.com/fight-details/e2dc4fb7b5c0ce76,UFC Fight Night: Ulberg vs. Reyes
Colby Thicknesse,Josias Musasa,,http://ufcstats.com/fight-details/81127436605d3c88,UFC Fight Night: Ulberg vs. Reyes
Michelle Montague,Luana Carolina,,http://ufcstats.com/fight-details/44cd8c9f622e155f,UFC Fight Night: Ulberg vs. Reyes
Brando Pericic,Elisha Ellison,,http://ufcstats.com/fight-details/140937779a2466a7,UFC Fight Night: Ulberg vs. Reyes
Alexia Thainara,Loma Lookboonmee,,http://ufcstats.com/fight-details/e35f7504d83b8b07,UFC Fight Night: Ulberg vs. Reyes
Diego Lopes,Jean Silva,,http://ufcstats.com/fight-details/de1a3734be60e6a1,UFC Fight Night: Lopes vs. Silva
David Martinez,Rob Font,,http://ufcstats.com/fight-details/944b929130b23c2a,UFC Fight Night: Lopes vs. Silva
Rafa Garcia,Jared Gordon,,http://ufcstats.com/fight-details/7cbfeba85f86d1bf,UFC Fight Night: Lopes vs. Silva
Kelvin Gastelum,Dustin Stoltzfus,,http://ufcstats.com/fight-details/114d2f6fcd3f6f00,UFC Fight Night: Lopes vs. Silva
Alexander Hernandez,Diego Ferreira,,http://ufcstats.com/fight-details/202c47db69768356,UFC Fight Night: Lopes vs. Silva
Santiago Luna,Quang Le,,http://ufcstats.com/fight-details/8a884a7930d75ca9,UFC Fight Night: Lopes vs. Silva
Dusko Todorovic,Jose Daniel Medina,,http://ufcstats.com/fight-details/07a378b257aad5a9,UFC Fight Night: Lopes vs. Silva
Joaquim Silva,Claudio Puelles,,http://ufcstats.com/fight-details/352839a03b428e74,UFC Fight Night: Lopes vs. Silva
Tatiana Suarez,Amanda Lemos,,http://ufcstats.com/fight-details/9474f64347aade7a,UFC Fight Night: Lopes vs. Silva
Jesus Aguilar,Luis Gurule,,http://ufcstats.com/fight-details/3dc1a6335d890650,UFC Fight Night: Lopes vs. Silva
Zach Reese,Sedriques Dumas,,http://ufcstats.com/fight-details/d822ebc7dbc6c259,UFC Fight Night: Lopes vs. Silva
Alden Coria,Alessandro Costa,,http://ufcstats.com/fight-details/a1e193425e716b42,UFC Fight Night: Lopes vs. Silva
Montse Rendon,Alice Pereira,,http://ufcstats.com/fight-details/c4a6174b0698652e,UFC Fight Night: Lopes vs. Silva
Daniil Donchenko,Rodrigo Sezinando,,http://ufcstats.com/fight-details/3dd2fde7bff79c51,UFC Fight Night: Lopes vs. Silva
Nassourdine Imavov,Caio Borralho,,http://ufcstats.com/fight-details/5bcd8abf6da01dae,UFC Fight Night: Imavov vs. Borralho
Benoit Saint Denis,Mauricio Ruffy,,http://ufcstats.com/fight-details/d14fea43712707f0,UFC Fight Night: Imavov vs. Borralho
Modestas Bukauskas,Paul Craig,,http://ufcstats.com/fight-details/0149e875b31e57f8,UFC Fight Night: Imavov vs. Borralho
Mason Jones,Bolaji Oki,,http://ufcstats.com/fight-details/69b31593175f77ec,UFC Fight Night: Imavov vs. Borralho
Axel Sola,Rhys McKee,,http://ufcstats.com/fight-details/a47123ae6e048f11,UFC Fight Night: Imavov vs. Borralho
William Gomis,Robert Ruchala,,http://ufcstats.com/fight-details/b53031bf4bd0a330,UFC Fight Night: Imavov vs. Borralho
Oumar Sy,Brendson Ribeiro,,http://ufcstats.com/fight-details/4080b4310d82b42d,UFC Fight Night: Imavov vs. Borralho
Ante Delija,Marcin Tybura,,http://ufcstats.com/fight-details/23dbe713c4294c66,UFC Fight Night: Imavov vs. Borralho
Kaue Fernandes,Harry Hardwick,,http://ufcstats.com/fight-details/5cd2dd6075fadcce,UFC Fight Night: Imavov vs. Borralho
Sam Patterson,Trey Waters,,http://ufcstats.com/fight-details/420211200a35c1d1,UFC Fight Night: Imavov vs. Borralho
Robert Bryczek,Brad Tavares,,http://ufcstats.com/fight-details/b3253e2c2d111030,UFC Fight Night: Imavov vs. Borralho
Rinat Fakhretdinov,Andreas Gustafsson,,http://ufcstats.com/fight-details/d56a59a4c79cf515,UFC Fight Night: Imavov vs. Borralho
Sam Hughes,Shauna Bannon,,http://ufcstats.com/fight-details/a38010639e61885c,UFC Fight Night: Imavov vs. Borralho
Johnny Walker,Zhang Mingyang,,http://ufcstats.com/fight-details/2eecf0c36192e40c,UFC Fight Night: Walker vs. Zhang
Aljamain Sterling,Brian Ortega,,http://ufcstats.com/fight-details/58080e8989927500,UFC Fight Night: Walker vs. Zhang
Sergei Pavlovich,Waldo Cortes Acosta,,http://ufcstats.com/fight-details/5538d15c4eeac3b3,UFC Fight Night: Walker vs. Zhang
Sumudaerji,Kevin Borjas,,http://ufcstats.com/fight-details/ce6bd165bef82bd7,UFC Fight Night: Walker vs. Zhang
Taiyilake Nueraji,Kiefer Crosbie,,http://ufcstats.com/fight-details/1452c20d964c0a63,UFC Fight Night: Walker vs. Zhang
Gauge Young,Maheshate,,http://ufcstats.com/fight-details/0b1460c666e66d39,UFC Fight Night: Walker vs. Zhang
Charles Johnson,Lone'er Kavanagh,,http://ufcstats.com/fight-details/1ab1ed99a4bc5494,UFC Fight Night: Walker vs. Zhang
Rongzhu,Austin Hubbard,,http://ufcstats.com/fight-details/f55749e32ce5c6f3,UFC Fight Night: Walker vs. Zhang
Kyle Daukaus,Michel Pereira,,http://ufcstats.com/fight-details/130e622d4d2aee3e,UFC Fight Night: Walker vs. Zhang
Yizha,Westin Wilson,,http://ufcstats.com/fight-details/f0b7caa90faf47e5,UFC Fight Night: Walker vs. Zhang
SuYoung You,Xiao Long,,http://ufcstats.com/fight-details/2f6065fe0804d1d8,UFC Fight Night: Walker vs. Zhang
Uran Satybaldiev,Diyar Nurgozhay,,http://ufcstats.com/fight-details/7fc5f1dc2df84ac7,UFC Fight Night: Walker vs. Zhang
Bruna Brasil,Shi Ming,,http://ufcstats.com/fight-details/abf5f4d6f777cf7b,UFC - Road to UFC 4.6
Nyamjargal Tumendemberel,Terrance Saeteurn,,http://ufcstats.com/fight-details/16523b1bec3cd7b0,UFC - Road to UFC 4.6
Khamzat Chimaev,Dricus Du Plessis,,http://ufcstats.com/fight-details/12cedec11b37ddc0,UFC 319: Du Plessis vs. Chimaev
Lerone Murphy,Aaron Pico,,http://ufcstats.com/fight-details/9fa6a029f7f8241c,UFC 319: Du Plessis vs. Chimaev
Carlos Prates,Geoff Neal,,http://ufcstats.com/fight-details/42585ce706c086de,UFC 319: Du Plessis vs. Chimaev
Michael Page,Jared Cannonier,,http://ufcstats.com/fight-details/9939d7073462e07e,UFC 319: Du Plessis vs. Chimaev
Tim Elliott,Kai Asakura,,http://ufcstats.com/fight-details/82338ba457fbe87f,UFC 319: Du Plessis vs. Chimaev
Baisangur Susurkaev,Eric Nolan,,http://ufcstats.com/fight-details/5efd13a12be06706,UFC 319: Du Plessis vs. Chimaev
Michal Oleksiejczuk,Gerald Meerschaert,,http://ufcstats.com/fight-details/5b880d10b0ed7acc,UFC 319: Du Plessis vs. Chimaev
Loopy Godinez,Jessica Andrade,,http://ufcstats.com/fight-details/a2eafd9e1d5031b1,UFC 319: Du Plessis vs. Chimaev
Alexander Hernandez,Chase Hooper,,http://ufcstats.com/fight-details/1d8dc0fb5d47357f,UFC 319: Du Plessis vs. Chimaev
Drakkar Klose,Edson Barboza,,http://ufcstats.com/fight-details/bc63f1b2e52f603e,UFC 319: Du Plessis vs. Chimaev
Karine Silva,Dione Barbosa,,http://ufcstats.com/fight-details/88020d22cf905792,UFC 319: Du Plessis vs. Chimaev
Joseph Morales,Alibi Idiris,,http://ufcstats.com/fight-details/68c423c7119004f3,UFC 319: Du Plessis vs. Chimaev
Anthony Hernandez,Roman Dolidze,,http://ufcstats.com/fight-details/68fe62bac7fd8bb0,UFC Fight Night: Dolidze vs. Hernandez
Steve Erceg,Ode Osbourne,,http://ufcstats.com/fight-details/37d58369782cb86b,UFC Fight Night: Dolidze vs. Hernandez
Iasmin Lucindo,Angela Hill,,http://ufcstats.com/fight-details/646c79a7ecd12e5f,UFC Fight Night: Dolidze vs. Hernandez
Andre Fili,Christian Rodriguez,,http://ufcstats.com/fight-details/98d6771af9b0ebe5,UFC Fight Night: Dolidze vs. Hernandez
Jean Matsumoto,Miles Johns,,http://ufcstats.com/fight-details/ed5383b50ffcdded,UFC Fight Night: Dolidze vs. Hernandez
Christian Leroy Duncan,Eryk Anders,,http://ufcstats.com/fight-details/75a84211f50c53f5,UFC Fight Night: Dolidze vs. Hernandez
Julius Walker,Rafael Cerqueira,,http://ufcstats.com/fight-details/3d6571790c21527c,UFC Fight Night: Dolidze vs. Hernandez
Elijah Smith,Toshiomi Kazama,,http://ufcstats.com/fight-details/ae7a8f19743e8154,UFC Fight Night: Dolidze vs. Hernandez
Joselyne Edwards,Priscila Cachoeira,,http://ufcstats.com/fight-details/aef44145740741b3,UFC Fight Night: Dolidze vs. Hernandez
Uros Medic,Gilbert Urbina,,http://ufcstats.com/fight-details/7d923267c44dd93b,UFC Fight Night: Dolidze vs. Hernandez
Gabriella Fernandes,Julija Stoliarenko,,http://ufcstats.com/fight-details/6ef50ed03b116b60,UFC Fight Night: Dolidze vs. Hernandez
Eric McConico,Cody Brundage,,http://ufcstats.com/fight-details/857e8facd8ff7c36,UFC Fight Night: Dolidze vs. Hernandez
Tatsuro Taira,HyunSung Park,,http://ufcstats.com/fight-details/282c8c6c1ed82bfb,UFC Fight Night: Taira vs. Park
Chris Duncan,Mateusz Rebecki,,http://ufcstats.com/fight-details/426a69e343822ab3,UFC Fight Night: Taira vs. Park
Esteban Ribovics,Elves Brener,,http://ufcstats.com/fight-details/878941394f9e3538,UFC Fight Night: Taira vs. Park
Karol Rosa,Nora Cornolle,,http://ufcstats.com/fight-details/c62ed8a6002b5360,UFC Fight Night: Taira vs. Park
Neil Magny,Elizeu Zaleski dos Santos,,http://ufcstats.com/fight-details/ac57250e3de89d5d,UFC Fight Night: Taira vs. Park
Kevin Vallejos,Danny Silva,,http://ufcstats.com/fight-details/111e66eb922449e4,UFC Fight Night: Taira vs. Park
Rinya Nakamura,Nathan Fletcher,,http://ufcstats.com/fight-details/eeeffa7f514e0c0e,UFC Fight Night: Taira vs. Park
Rodolfo Vieira,Tresean Gore,,http://ufcstats.com/fight-details/45781930d64da456,UFC Fight Night: Taira vs. Park
Andrey Pulyaev,Nick Klein,,http://ufcstats.com/fight-details/b3c695728e177fd4,UFC Fight Night: Taira vs. Park
Austin Bashi,John Yannis,,http://ufcstats.com/fight-details/07c2af68b6dbc4ec,UFC Fight Night: Taira vs. Park
Rafael Estevam,Felipe Bunes,,http://ufcstats.com/fight-details/b47db03affb279c3,UFC Fight Night: Taira vs. Park
Piera Rodriguez,Ketlen Souza,,http://ufcstats.com/fight-details/d98d6b2c13557a87,UFC Fight Night: Taira vs. Park
Reinier de Ridder,Robert Whittaker,,http://ufcstats.com/fight-details/6b8be0ee3e569ad2,UFC Fight Night: Whittaker vs. De Ridder
Petr Yan,Marcus McGhee,,http://ufcstats.com/fight-details/d4d4ee045b0ca695,UFC Fight Night: Whittaker vs. De Ridder
Shara Magomedov,Marc-Andre Barriault,,http://ufcstats.com/fight-details/582d66ce97309e29,UFC Fight Night: Whittaker vs. De Ridder
Asu Almabayev,Jose Ochoa,,http://ufcstats.com/fight-details/887c61da1a78a5e1,UFC Fight Night: Whittaker vs. De Ridder
Bogdan Guskov,Nikita Krylov,,http://ufcstats.com/fight-details/77f960d82cda0b76,UFC Fight Night: Whittaker vs. De Ridder
Bryce Mitchell,Said Nurmagomedov,,http://ufcstats.com/fight-details/e72c691b7c68b03a,UFC Fight Night: Whittaker vs. De Ridder
Muslim Salikhov,Carlos Leal,,http://ufcstats.com/fight-details/7c075e3383198e14,UFC Fight Night: Whittaker vs. De Ridder
Davey Grant,Da'Mon Blackshear,,http://ufcstats.com/fight-details/017a825c7820d12e,UFC Fight Night: Whittaker vs. De Ridder
Tabatha Ricci,Amanda Ribas,,http://ufcstats.com/fight-details/3e6067763978d862,UFC Fight Night: Whittaker vs. De Ridder
Billy Elekana,Ibo Aslan,,http://ufcstats.com/fight-details/f9dac7702609669f,UFC Fight Night: Whittaker vs. De Ridder
Steven Nguyen,Mohammad Yahya,,http://ufcstats.com/fight-details/23ddf51ce630028d,UFC Fight Night: Whittaker vs. De Ridder
Martin Buday,Marcus Buchecha,,http://ufcstats.com/fight-details/0a598768f5c8d540,UFC Fight Night: Whittaker vs. De Ridder
Max Holloway,Dustin Poirier,,http://ufcstats.com/fight-details/d7507e2741fd4d05,UFC 318: Holloway vs. Poirier 3
Paulo Costa,Roman Kopylov,,http://ufcstats.com/fight-details/23c963be9de38205,UFC 318: Holloway vs. Poirier 3
Daniel Rodriguez,Kevin Holland,,http://ufcstats.com/fight-details/5dde61734080ac4a,UFC 318: Holloway vs. Poirier 3
Patricio Freire,Dan Ige,,http://ufcstats.com/fight-details/acc961fd5cf5c62e,UFC 318: Holloway vs. Poirier 3
Michael Johnson,Daniel Zellhuber,,http://ufcstats.com/fight-details/a95b03e9b5a91e47,UFC 318: Holloway vs. Poirier 3
Vinicius Oliveira,Kyler Phillips,,http://ufcstats.com/fight-details/d2cb92fdf6a497e9,UFC 318: Holloway vs. Poirier 3
Brendan Allen,Marvin Vettori,,http://ufcstats.com/fight-details/8e1feda9141602f1,UFC 318: Holloway vs. Poirier 3
Nikolay Veretennikov,Francisco Prado,,http://ufcstats.com/fight-details/df2ed8b509fbdbdc,UFC 318: Holloway vs. Poirier 3
Ateba Gautier,Robert Valentin,,http://ufcstats.com/fight-details/72e477b41f44e358,UFC 318: Holloway vs. Poirier 3
Islam Dulatov,Adam Fugitt,,http://ufcstats.com/fight-details/37bc72d5d211b189,UFC 318: Holloway vs. Poirier 3
Jimmy Crute,Marcin Prachnio,,http://ufcstats.com/fight-details/798652dbea086910,UFC 318: Holloway vs. Poirier 3
Ryan Spann,Lukasz Brzeski,,http://ufcstats.com/fight-details/182ee320edb1b5ed,UFC 318: Holloway vs. Poirier 3
Brunno Ferreira,Jackson McVey,,http://ufcstats.com/fight-details/74099d470e8d2765,UFC 318: Holloway vs. Poirier 3
Carli Judice,Nicolle Caliari,,http://ufcstats.com/fight-details/a602c68147b752b2,UFC 318: Holloway vs. Poirier 3
Derrick Lewis,Tallison Teixeira,,http://ufcstats.com/fight-details/0adfc21045c02555,UFC Fight Night: Lewis vs. Teixeira
Gabriel Bonfim,Stephen Thompson,,http://ufcstats.com/fight-details/2a03bc4c491b4c9a,UFC Fight Night: Lewis vs. Teixeira
Steve Garcia,Calvin Kattar,,http://ufcstats.com/fight-details/f368475c366c6d85,UFC Fight Night: Lewis vs. Teixeira
Morgan Charriere,Nate Landwehr,,http://ufcstats.com/fight-details/4e5d4a36eaaa3a78,UFC Fight Night: Lewis vs. Teixeira
Vitor Petrino,Austen Lane,,http://ufcstats.com/fight-details/4b75d3b7738cb278,UFC Fight Night: Lewis vs. Teixeira
Tuco Tokkos,Junior Tafa,,http://ufcstats.com/fight-details/b19bf99c7eb796bc,UFC Fight Night: Lewis vs. Teixeira
Chris Curtis,Max Griffin,,http://ufcstats.com/fight-details/236f811290163dca,UFC Fight Night: Lewis vs. Teixeira
Jake Matthews,Chidi Njokuani,,http://ufcstats.com/fight-details/d5e3be7a07c48b08,UFC Fight Night: Lewis vs. Teixeira
Eduarda Moura,Lauren Murphy,,http://ufcstats.com/fight-details/46bc1338a50cbeac,UFC Fight Night: Lewis vs. Teixeira
Valter Walker,Kennedy Nzechukwu,,http://ufcstats.com/fight-details/5c650ae2193ab1bc,UFC Fight Night: Lewis vs. Teixeira
Mike Davis,Mitch Ramirez,,http://ufcstats.com/fight-details/7f33fbdc35afd721,UFC Fight Night: Lewis vs. Teixeira
Fatima Kline,Melissa Martinez,,http://ufcstats.com/fight-details/120d66cb0da0f3c3,UFC Fight Night: Lewis vs. Teixeira
Ilia Topuria,Charles Oliveira,,http://ufcstats.com/fight-details/7a64d63e12618ba7,UFC 317: Topuria vs. Oliveira
Alexandre Pantoja,Kai Kara-France,,http://ufcstats.com/fight-details/8308464729ea7c40,UFC 317: Topuria vs. Oliveira
Joshua Van,Brandon Royval,,http://ufcstats.com/fight-details/f722b96ae6862843,UFC 317: Topuria vs. Oliveira
Beneil Dariush,Renato Moicano,,http://ufcstats.com/fight-details/1ea9ad3b6e1cba79,UFC 317: Topuria vs. Oliveira
Payton Talbott,Felipe Lima,,http://ufcstats.com/fight-details/f6a3c78f15ff26c7,UFC 317: Topuria vs. Oliveira
Gregory Rodrigues,Jack Hermansson,,http://ufcstats.com/fight-details/958522de54ccc536,UFC 317: Topuria vs. Oliveira
Jose Delgado,Hyder Amil,,http://ufcstats.com/fight-details/2f523b757f7f33a2,UFC 317: Topuria vs. Oliveira
Tracy Cortez,Viviane Araujo,,http://ufcstats.com/fight-details/815ff62ca8e217be,UFC 317: Topuria vs. Oliveira
Terrance McKinney,Viacheslav Borshchev,,http://ufcstats.com/fight-details/d7be78c400e7e0f9,UFC 317: Topuria vs. Oliveira
Jacobe Smith,Niko Price,,http://ufcstats.com/fight-details/9bff9fe298e63357,UFC 317: Topuria vs. Oliveira
Jhonata Diniz,Alvin Hines,,http://ufcstats.com/fight-details/043172689e415438,UFC 317: Topuria vs. Oliveira
Khalil Rountree Jr.,Jamahal Hill,,http://ufcstats.com/fight-details/03bc32bdb5a33496,UFC Fight Night: Hill vs. Rountree Jr.
Rafael Fiziev,Ignacio Bahamondes,,http://ufcstats.com/fight-details/a1afc16e21d1a807,UFC Fight Night: Hill vs. Rountree Jr.
Curtis Blaydes,Rizvan Kuniev,,http://ufcstats.com/fight-details/8e5744c664fec3e9,UFC Fight Night: Hill vs. Rountree Jr.
Myktybek Orolbai,Tofiq Musayev,,http://ufcstats.com/fight-details/36ec204f47e4d613,UFC Fight Night: Hill vs. Rountree Jr.
Nazim Sadykhov,Nikolas Motta,,http://ufcstats.com/fight-details/7513a00037094075,UFC Fight Night: Hill vs. Rountree Jr.
Muhammad Naimov,Bogdan Grad,,http://ufcstats.com/fight-details/19764211af05674c,UFC Fight Night: Hill vs. Rountree Jr.
Seokhyeon Ko,Oban Elliott,,http://ufcstats.com/fight-details/e512b80bbaea36c2,UFC Fight Night: Hill vs. Rountree Jr.
JunYong Park,Ismail Naurdiev,,http://ufcstats.com/fight-details/5fcf18bcd2a020f1,UFC Fight Night: Hill vs. Rountree Jr.
Daria Zhelezniakova,Melissa Mullins,,http://ufcstats.com/fight-details/fff3218758c513b8,UFC Fight Night: Hill vs. Rountree Jr.
Klaudia Sygula,Irina Alekseeva,,http://ufcstats.com/fight-details/2bfc0212f2cae65b,UFC Fight Night: Hill vs. Rountree Jr.
Tagir Ulanbekov,Azat Maksum,,http://ufcstats.com/fight-details/8c140756bf43dcc2,UFC Fight Night: Hill vs. Rountree Jr.
Mohammed Usman,Hamdy Abdelwahab,,http://ufcstats.com/fight-details/a12d3a6c8aaf87ca,UFC Fight Night: Hill vs. Rountree Jr.
