delta_wins,delta_losses,delta_draws,delta_height_in,delta_weight_lbs,delta_reach_in,delta_stat_reliability,delta_experience_log,delta_shrunk_win_rate,delta_shrunk_str_acc,delta_shrunk_str_def,delta_shrunk_td_acc,delta_shrunk_td_def,delta_shrunk_td_avg,delta_shrunk_sub_avg,delta_shrunk_slpm,delta_shrunk_sapm,delta_shrunk_strike_margin,stance_match,delta_schedule_strength,delta_schedule_std,delta_underdog_win_share,delta_favorite_loss_share,delta_lucky_finish_win_share,delta_unlucky_finish_loss_share,delta_upset_index,division_id,delta_recent_win_rate,delta_adj_win_rate,delta_adj_td_acc,delta_adj_td_def,delta_adj_str_acc,delta_adj_str_def,delta_adj_td_avg,delta_adj_sub_avg,abs_delta_wins,abs_delta_losses,abs_delta_draws,abs_delta_height_in,abs_delta_weight_lbs,abs_delta_reach_in,abs_delta_stat_reliability,abs_delta_experience_log,abs_delta_shrunk_win_rate,abs_delta_shrunk_str_acc,abs_delta_shrunk_str_def,abs_delta_shrunk_td_acc,abs_delta_shrunk_td_def,abs_delta_shrunk_td_avg,abs_delta_shrunk_sub_avg,abs_delta_shrunk_slpm,abs_delta_shrunk_sapm,abs_delta_shrunk_strike_margin,abs_delta_schedule_strength,abs_delta_schedule_std,abs_delta_underdog_win_share,abs_delta_favorite_loss_share,abs_delta_lucky_finish_win_share,abs_delta_unlucky_finish_loss_share,abs_delta_upset_index,abs_delta_recent_win_rate,abs_delta_adj_win_rate,abs_delta_adj_td_acc,abs_delta_adj_td_def,abs_delta_adj_str_acc,abs_delta_adj_str_def,abs_delta_adj_td_avg,abs_delta_adj_sub_avg,label
3.0,0.0,0.0,0.0,0.0,0.0,0.04761904761904756,0.19415601444095776,0.0357142857142857,-0.1466666666666666,-0.1704761904761905,-0.2623809523809524,0.1428571428571429,0.6995238095238092,1.05,-1.1419047619047613,1.9480952380952377,-3.089999999999999,0.0,-0.02182539682539686,-0.013888888888888895,0.0,-1.0,0.0,-1.0,-0.75,7.0,-0.5,0.014389098299231406,-0.29111064405785025,0.12508922788131838,-0.1689376067651761,-0.19520250752737317,0.6846045188808316,1.0835950292541197,3.0,0.0,0.0,0.0,0.0,0.0,0.04761904761904756,0.19415601444095776,0.0357142857142857,0.1466666666666666,0.1704761904761905,0.2623809523809524,0.1428571428571429,0.6995238095238092,1.05,1.1419047619047613,1.9480952380952377,3.089999999999999,0.02182539682539686,0.013888888888888895,0.5,1.0,0.0,1.0,1.0,0.5,0.014389098299231406,0.29111064405785025,0.12508922788131838,0.1689376067651761,0.19520250752737317,0.6846045188808316,1.0835950292541197,1
-7.0,-2.0,-1.0,-2.0,0.0,1.0,-0.21333333333333337,-0.8109302162163288,-0.013333333333333308,-0.041333333333333444,-0.027466666666666695,-0.1569333333333333,-0.5111999999999999,-0.7037333333333333,-0.06133333333333335,1.0004000000000008,1.5932000000000004,-0.5927999999999995,1.0,-0.02833333333333332,-0.041666666666666685,0.0,0.0,0.0,0.0,-0.75,7.0,-0.5,-0.04109526474260494,-0.16955906232798776,-0.5383479681281239,-0.0634510887625821,-0.04717736392451044,-0.7471119130205568,-0.07068385535728045,7.0,2.0,1.0,2.0,0.0,1.0,0.21333333333333337,0.8109302162163288,0.013333333333333308,0.041333333333333444,0.027466666666666695,0.1569333333333333,0.5111999999999999,0.7037333333333333,0.06133333333333335,1.0004000000000008,1.5932000000000004,0.5927999999999995,0.02833333333333332,0.041666666666666685,0.5,0.0,0.0,0.0,1.0,0.5,0.04109526474260494,0.16955906232798776,0.5383479681281239,0.0634510887625821,0.04717736392451044,0.7471119130205568,0.07068385535728045,1
13.0,9.0,2.0,1.0,0.0,3.0,0.23500611995104037,1.0986122886681096,-0.1089351285189718,-0.025507955936352467,0.026768665850673057,-0.03238678090575281,-0.1561444308445531,0.20004895960832303,0.1275397796817626,-0.20549571603427186,0.02574051407588751,-0.23123623011015937,1.0,0.13834555990218744,0.02941043138321564,0.0,-1.0,0.0,-1.0,-0.75,1.0,-0.5,0.02527193522011173,0.0479383934825135,-0.01581209368352532,0.06507828872114546,0.14164652815523615,0.4481593642849806,0.1963227893251615,13.0,9.0,2.0,1.0,0.0,3.0,0.23500611995104037,1.0986122886681096,0.1089351285189718,0.025507955936352467,0.026768665850673057,0.03238678090575281,0.1561444308445531,0.20004895960832303,0.1275397796817626,0.20549571603427186,0.02574051407588751,0.23123623011015937,0.13834555990218744,0.02941043138321564,0.5,1.0,0.0,1.0,1.0,0.5,0.02527193522011173,0.0479383934825135,0.01581209368352532,0.06507828872114546,0.14164652815523615,0.4481593642849806,0.1963227893251615,1
9.0,11.0,1.0,3.0,0.0,3.0,0.16600790513833996,0.8383291904044432,-0.1689723320158104,0.009841897233201502,-0.13221343873517788,0.09296442687747042,-0.17086956521739138,-0.18936758893280636,0.5964426877470357,-0.3875098814229254,1.8303557312252963,-2.2178656126482217,0.0,0.13448616600790508,-0.00187747035573127,0.0,0.0,0.0,0.0,-0.75,2.0,-1.0,-0.03514978032361282,0.1609121829265222,-0.02199279833092116,0.09998876347713881,-0.02185664219918837,-0.05951456179156034,0.6866712028887267,9.0,11.0,1.0,3.0,0.0,3.0,0.16600790513833996,0.8383291904044432,0.1689723320158104,0.009841897233201502,0.13221343873517788,0.09296442687747042,0.17086956521739138,0.18936758893280636,0.5964426877470357,0.3875098814229254,1.8303557312252963,2.2178656126482217,0.13448616600790508,0.00187747035573127,0.5,1.0,0.0,0.0,1.0,1.0,0.03514978032361282,0.1609121829265222,0.02199279833092116,0.09998876347713881,0.02185664219918837,0.05951456179156034,0.6866712028887267,1
-19.0,-13.0,-1.0,3.0,0.0,6.0,-0.16296296296296298,-0.9745596399981311,0.07037037037037042,-0.11859259259259258,-0.0677037037037036,-0.12614814814814812,0.043777777777777915,-0.8575555555555557,0.008148148148148127,-1.0422962962962963,1.8747407407407413,-2.9170370370370375,0.0,-0.060623781676413246,-0.009746588693957114,0.0,0.0,0.0,0.0,-0.75,4.0,-1.0,0.008953216719521762,-0.1523413385923258,-0.021688460670142518,-0.15460414631270175,-0.1158885523297592,-0.9004768398948904,-0.019480314693948952,19.0,13.0,1.0,3.0,0.0,6.0,0.16296296296296298,0.9745596399981311,0.07037037037037042,0.11859259259259258,0.0677037037037036,0.12614814814814812,0.043777777777777915,0.8575555555555557,0.008148148148148127,1.0422962962962963,1.8747407407407413,2.9170370370370375,0.060623781676413246,0.009746588693957114,0.5,1.0,0.0,0.0,1.0,1.0,0.008953216719521762,0.1523413385923258,0.021688460670142518,0.15460414631270175,0.1158885523297592,0.9004768398948904,0.019480314693948952,1
-1.0,-3.0,0.0,0.0,0.0,2.0,-0.03823178016726403,-0.1823215567939549,0.04898446833930703,-0.007419354838709646,-0.003978494623655848,-0.17095579450418164,-0.006427718040621311,-0.7592353643966547,-0.11051373954599741,0.3695101553166067,0.10105137395459973,0.26845878136200696,1.0,-0.04898446833930703,0.0,0.0,0.0,0.0,0.0,-0.75,1.0,1.0,0.0,-0.16412112687211083,-0.037499537382667925,-0.038747211454549624,-0.03821001845137828,-0.7165114933911982,-0.17328806553913068,1.0,3.0,0.0,0.0,0.0,2.0,0.03823178016726403,0.1823215567939549,0.04898446833930703,0.007419354838709646,0.003978494623655848,0.17095579450418164,0.006427718040621311,0.7592353643966547,0.11051373954599741,0.3695101553166067,0.10105137395459973,0.26845878136200696,0.04898446833930703,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.16412112687211083,0.037499537382667925,0.038747211454549624,0.03821001845137828,0.7165114933911982,0.17328806553913068,0
-3.0,-5.0,0.0,-1.0,0.0,-4.0,-0.1855072463768116,-0.6931471805599454,0.12463768115942031,0.05318840579710149,0.053130434782608704,0.22449275362318843,-0.34521739130434775,0.8107246376811594,0.06492753623188405,0.824086956521739,-1.8254492753623186,2.6495362318840576,1.0,-0.09620630861040058,-0.028431372549019673,0.0,0.0,0.0,0.0,-0.75,1.0,1.0,0.02510106436813242,0.17975329701104137,-0.3976045691081182,-0.014924623001150494,-0.02437956333075275,0.6623713379665591,0.04033481377775755,3.0,5.0,0.0,1.0,0.0,4.0,0.1855072463768116,0.6931471805599454,0.12463768115942031,0.05318840579710149,0.053130434782608704,0.22449275362318843,0.34521739130434775,0.8107246376811594,0.06492753623188405,0.824086956521739,1.8254492753623186,2.6495362318840576,0.09620630861040058,0.028431372549019673,0.5,1.0,0.0,0.0,1.0,1.0,0.02510106436813242,0.17975329701104137,0.3976045691081182,0.014924623001150494,0.02437956333075275,0.6623713379665591,0.04033481377775755,0
1.0,-4.0,0.0,1.0,0.0,4.0,-0.07894736842105265,-0.2876820724517808,0.17105263157894735,0.0971052631578947,0.1610526315789474,0.15552631578947362,0.20473684210526322,2.0007894736842107,0.42763157894736836,0.027368421052631042,-3.895789473684211,3.923157894736842,1.0,-0.13552631578947372,0.03552631578947363,0.0,0.0,0.0,0.0,-0.75,2.0,1.0,0.03864608874788311,0.05025899986051857,0.11460235206471014,0.008330379130099208,0.051356357936075736,1.6545965063251067,0.35215651981249996,1.0,4.0,0.0,1.0,0.0,4.0,0.07894736842105265,0.2876820724517808,0.17105263157894735,0.0971052631578947,0.1610526315789474,0.15552631578947362,0.20473684210526322,2.0007894736842107,0.42763157894736836,0.027368421052631042,3.895789473684211,3.923157894736842,0.13552631578947372,0.03552631578947363,0.5,1.0,0.0,0.0,1.0,1.0,0.03864608874788311,0.05025899986051857,0.11460235206471014,0.008330379130099208,0.051356357936075736,1.6545965063251067,0.35215651981249996,0
-2.0,-6.0,0.0,1.0,0.0,0.0,-0.1367521367521367,-0.5465437063680696,0.14529914529914523,0.09008547008547008,0.20675213675213683,-0.1764957264957265,0.4506837606837606,-0.11957264957264957,0.04786324786324783,6.305726495726496,-2.2191452991452993,8.524871794871796,1.0,-0.09900284900284895,-0.04629629629629628,0.0,0.0,0.0,0.0,-0.75,6.0,1.0,0.03873988003639228,-0.197284130414662,0.3237724213921518,0.019710850962516457,0.10297576645406886,-0.18742870493340374,0.02458691052976361,2.0,6.0,0.0,1.0,0.0,0.0,0.1367521367521367,0.5465437063680696,0.14529914529914523,0.09008547008547008,0.20675213675213683,0.1764957264957265,0.4506837606837606,0.11957264957264957,0.04786324786324783,6.305726495726496,2.2191452991452993,8.524871794871796,0.09900284900284895,0.04629629629629628,0.5,1.0,0.0,0.0,1.0,1.0,0.03873988003639228,0.197284130414662,0.3237724213921518,0.019710850962516457,0.10297576645406886,0.18742870493340374,0.02458691052976361,0
2.0,-4.0,0.0,-6.0,0.0,-6.0,-0.02782608695652178,-0.11778303565638337,0.13913043478260867,0.06493913043478272,0.08132173913043489,0.09213913043478261,0.06466086956521733,1.9546608695652177,-0.13182608695652176,-0.19323478260869598,-0.7378434782608689,0.544608695652173,0.0,-0.08774703557312247,-0.0513833992094862,0.0,0.0,0.0,0.0,-0.75,2.0,1.0,0.04471654010588022,0.03441797694611065,-0.021821671571669587,-0.001623554379228731,0.010291683692061182,1.4944130114031007,-0.16359374211043565,2.0,4.0,0.0,6.0,0.0,6.0,0.02782608695652178,0.11778303565638337,0.13913043478260867,0.06493913043478272,0.08132173913043489,0.09213913043478261,0.06466086956521733,1.9546608695652177,0.13182608695652176,0.19323478260869598,0.7378434782608689,0.544608695652173,0.08774703557312247,0.0513833992094862,0.5,1.0,0.0,0.0,1.0,1.0,0.04471654010588022,0.03441797694611065,0.021821671571669587,0.001623554379228731,0.010291683692061182,1.4944130114031007,0.16359374211043565,0
